Country,Region,Happiness_Score,GDP,Health,Freedom,Generosity,Happiness_Rank
Kosovo,Central and Eastern Europe,5.401,0.90145,0.54,0.14396,0.27992,77
Turkey,Middle East and Northern Africa,5.389,1.16492,0.64718,0.23889,0.04707,78
Indonesia,Southeastern Asia,5.314,0.95104,0.49374,0.39237,0.56521,79
Jordan,Middle East and Northern Africa,5.303,0.99673,0.60712,0.36023,0.14262,80
Azerbaijan,Central and Eastern Europe,5.291,1.12373,0.54504,0.35327,0.0564,81
Philippines,Southeastern Asia,5.279,0.81217,0.47036,0.54854,0.21674,82
China,Eastern Asia,5.245,1.0278,0.73561,0.230725,0.04959,83
Bhutan,Southern Asia,5.196,0.8527,0.49759,0.46074,0.48546,84
Kyrgyzstan,Central and Eastern Europe,5.185,0.56044,0.55449,0.40212,0.38432,85
Serbia,Central and Eastern Europe,5.177,1.03437,0.6458,0.15718,0.20737,86
Bosnia and Herzegovina,Central and Eastern Europe,5.163,0.93383,0.70766,0.09511,0.29889,87
Montenegro,Central and Eastern Europe,5.161,1.07838,0.63533,0.15111,0.17191,88
Dominican Republic,Latin America and Caribbean,5.155,1.02787,0.57669,0.52259,0.21286,89
Morocco,Middle East and Northern Africa,5.151,0.84058,0.59471,0.25646,0.04053,90
Hungary,Central and Eastern Europe,5.145,1.24142,0.67608,0.1977,0.099,91
Pakistan,Southern Asia,5.132,0.68816,0.40306,0.14622,0.31185,92
Lebanon,Middle East and Northern Africa,5.129,1.12268,0.76171,0.26228,0.23693,93
Portugal,Western Europe,5.123,1.27607,0.79363,0.44727,0.11691,94
Macedonia,Central and Eastern Europe,5.121,1.0193,0.64738,0.27668,0.23507,95
Vietnam,Southeastern Asia,5.061,0.97633,0.66157,0.55954,0.25075,96
Somaliland Region,Sub-Saharan Africa,5.057,0.25558,0.33108,0.3913,0.51479,97
Tunisia,Middle East and Northern Africa,5.045,0.97724,0.80661,0.4804049999999999,0.03936,98
Greece,Western Europe,5.033,1.24886,0.80029,0.05822,0.0,99
Tajikistan,Central and Eastern Europe,4.996,0.48835,0.53119,0.43408,0.25998,100
Mongolia,Eastern Asia,4.907,0.98853,0.55469,0.35972,0.34539,101
Laos,Southeastern Asia,4.876,0.68042,0.38291,0.52168,0.43079,102
Nigeria,Sub-Saharan Africa,4.875,0.75216,0.05108,0.27854,0.13669,103
Honduras,Latin America and Caribbean,4.871,0.69429,0.58383,0.26755,0.2044,104
Iran,Middle East and Northern Africa,4.813,1.11758,0.64232,0.22544,0.38538,105
Zambia,Sub-Saharan Africa,4.795,0.61202,0.23573,0.42662,0.17866,106
Nepal,Southern Asia,4.793,0.44626,0.50073,0.37012,0.3816,107
Palestinian Territories,Middle East and Northern Africa,4.754,0.67024,0.56844,0.17744,0.11154,108
Albania,Central and Eastern Europe,4.655,0.9553,0.73007,0.31866,0.1684,109
Bangladesh,Southern Asia,4.643,0.54177,0.52989,0.39778,0.19132,110
Sierra Leone,Sub-Saharan Africa,4.635,0.36485,0.0,0.30685,0.23897,111
Iraq,Middle East and Northern Africa,4.575,1.07474,0.51076,0.24856,0.19589,112
Namibia,Sub-Saharan Africa,4.574,0.93287,0.34745,0.48614,0.07795,113
Cameroon,Sub-Saharan Africa,4.513,0.90704,0.12698,0.42736,0.2268,114
Ethiopia,Sub-Saharan Africa,4.508,0.29283,0.34578,0.36703,0.29522,115
South Africa,Sub-Saharan Africa,4.459,1.02416,0.18611,0.42483,0.13656,116
Sri Lanka,Southern Asia,4.415,0.97318,0.62007,0.50817,0.46978,117
India,Southern Asia,4.404,0.74036,0.45091,0.40285,0.25028,118
Myanmar,Southeastern Asia,4.395,0.34112,0.3988,0.42692,0.81971,119
Egypt,Middle East and Northern Africa,4.362,0.95395,0.52116,0.18847,0.12706,120
Armenia,Central and Eastern Europe,4.36,0.86086,0.64083,0.14037,0.07793,121
Kenya,Sub-Saharan Africa,4.356,0.52267,0.30147,0.40576,0.41328,122
Ukraine,Central and Eastern Europe,4.324,0.87287,0.58628,0.12859,0.20363,123
Ghana,Sub-Saharan Africa,4.276,0.63107,0.29681,0.40973,0.21203,124
Congo (Kinshasa),Sub-Saharan Africa,4.272,0.05661,0.188,0.15602,0.25458,125
Georgia,Central and Eastern Europe,4.252,0.83792,0.64035,0.32461,0.06786,126
Congo (Brazzaville),Sub-Saharan Africa,4.236,0.77109,0.28212,0.37938,0.12077,127
Senegal,Sub-Saharan Africa,4.219,0.44314,0.40457,0.31056,0.19103,128
Bulgaria,Central and Eastern Europe,4.217,1.11306,0.67806,0.21219,0.12793,129
Mauritania,Sub-Saharan Africa,4.201,0.61391,0.28639,0.1268,0.22686,130
Zimbabwe,Sub-Saharan Africa,4.193,0.35041,0.1595,0.25429,0.18503,131
Malawi,Sub-Saharan Africa,4.156,0.08709,0.29364,0.4143,0.30968,132
Sudan,Sub-Saharan Africa,4.139,0.63069,0.29759,0.0,0.18077,133
Gabon,Sub-Saharan Africa,4.121,1.15851,0.3494,0.28098,0.06244,134
Mali,Sub-Saharan Africa,4.073,0.31292,0.16347,0.33726,0.21064,135
Haiti,Latin America and Caribbean,4.028,0.34097,0.27494,0.12072,0.47958,136
Botswana,Sub-Saharan Africa,3.974,1.09426,0.34752,0.44089,0.12425,137
Comoros,Sub-Saharan Africa,3.956,0.27509,0.29981,0.15412,0.1827,138
Ivory Coast,Sub-Saharan Africa,3.916,0.55507,0.04476,0.40663,0.20338,139
Cambodia,Southeastern Asia,3.907,0.55604,0.42494,0.58852,0.40339,140
Angola,Sub-Saharan Africa,3.866,0.84731,0.04991,0.00589,0.12071,141
Niger,Sub-Saharan Africa,3.856,0.1327,0.26162,0.38041,0.2097,142
South Sudan,Sub-Saharan Africa,3.832,0.39394,0.15781,0.19662,0.25899,143
Chad,Sub-Saharan Africa,3.763,0.42214,0.03824,0.12807,0.18667,144
Burkina Faso,Sub-Saharan Africa,3.739,0.31995,0.21297,0.3337,0.24353,145
Uganda,Sub-Saharan Africa,3.739,0.34719,0.19625,0.43653,0.27102,146
Yemen,Middle East and Northern Africa,3.724,0.57939,0.31048,0.2287,0.09821,147
Madagascar,Sub-Saharan Africa,3.695,0.98942,0.37109,0.13684,0.2204,148
Tanzania,Sub-Saharan Africa,3.666,0.47155,0.357,0.3176,0.19682,149
Liberia,Sub-Saharan Africa,3.622,0.10706,0.23165,0.25748,0.24063,150
Guinea,Sub-Saharan Africa,3.607,0.22415,0.18829,0.30953,0.29914,151
Rwanda,Sub-Saharan Africa,3.515,0.32846,0.31865,0.5432,0.23552,152
Benin,Sub-Saharan Africa,3.484,0.39499,0.21028,0.39747,0.2018,153
Afghanistan,Southern Asia,3.36,0.38227,0.75283,0.392945,0.31268,154
Togo,Sub-Saharan Africa,3.303,0.28123,0.24811,0.34678,0.17517,155
Syria,Middle East and Northern Africa,3.069,0.74719,0.62994,0.06912,0.48397,156
Burundi,Sub-Saharan Africa,2.905,0.06831,0.15747,0.0432,0.2029,157
