index,Country,Region,Happiness_Score,GDP,Health,Freedom,Generosity
9,Sierra Leone,Sub-Saharan Africa,4.635,0.36485,0.0,0.30685,0.23897
6,Niger,Sub-Saharan Africa,3.856,0.1327,0.26162,0.38041,0.2097
105,Hong Kong,Eastern Asia,5.458,1.5107,0.95277,0.48079,0.40097
136,Angola,Sub-Saharan Africa,3.866,0.84731,0.04991,0.00589,0.12071
103,Sweden,Western Europe,7.291,1.45181,0.83121,0.58218,0.38254
26,Puerto Rico,Latin America and Caribbean,7.039,1.35943,0.77758,0.46823,0.22202
122,Belgium,Western Europe,6.929,1.42539,0.81959,0.51354,0.2424
74,Tunisia,Middle East and Northern Africa,5.045,0.97724,,,0.03936
11,Portugal,Western Europe,5.123,1.27607,0.79363,0.44727,0.11691
66,Austria,Western Europe,7.119,1.45038,0.80565,0.54355,0.32865
61,Sudan,Sub-Saharan Africa,4.139,0.63069,0.29759,0.0,0.18077
67,Taiwan,Eastern Asia,6.379,1.39729,0.79565,0.32377,0.25495
0,Bahrain,Middle East and Northern Africa,6.218,1.44024,0.65696,0.47375,0.17147
54,Albania,Central and Eastern Europe,4.655,0.9553,0.73007,0.31866,0.1684
50,Palestinian Territories,Middle East and Northern Africa,4.754,0.67024,0.56844,0.17744,0.11154
44,Lithuania,Central and Eastern Europe,5.813,1.2692,,0.18929,0.02025
70,India,Southern Asia,4.404,0.74036,0.45091,0.40285,0.25028
126,Yemen,Middle East and Northern Africa,3.724,0.57939,0.31048,0.2287,0.09821
111,Nigeria,Sub-Saharan Africa,4.875,0.75216,0.05108,0.27854,
35,Togo,Sub-Saharan Africa,3.303,0.28123,0.24811,0.34678,0.17517
123,Peru,Latin America and Caribbean,5.743,0.99602,0.62994,0.37502,0.14527
138,Mauritania,Sub-Saharan Africa,4.201,0.61391,0.28639,0.1268,0.22686
73,Malawi,Sub-Saharan Africa,4.156,0.08709,0.29364,0.4143,0.30968
17,Slovakia,Central and Eastern Europe,6.078,1.27973,0.70367,0.23391,0.13837
63,Rwanda,Sub-Saharan Africa,3.515,0.32846,0.31865,0.5432,0.23552
102,Costa Rica,Latin America and Caribbean,7.087,,0.76146,0.55225,0.22553
47,Uganda,Sub-Saharan Africa,3.739,0.34719,0.19625,0.43653,0.27102
65,Egypt,Middle East and Northern Africa,4.362,0.95395,0.52116,0.18847,0.12706
141,Chad,Sub-Saharan Africa,3.763,0.42214,0.03824,0.12807,0.18667
25,Guatemala,Latin America and Caribbean,6.324,0.83454,0.54039,0.50379,0.28808
38,Trinidad and Tobago,Latin America and Caribbean,6.168,1.32572,0.52608,0.48453,0.31935
121,Finland,Western Europe,7.413,1.40598,0.81091,0.57104,0.25492
29,United Kingdom,Western Europe,6.725,1.40283,0.80991,0.50036,0.50156
115,Burkina Faso,Sub-Saharan Africa,3.739,0.31995,0.21297,0.3337,0.24353
68,United Arab Emirates,Middle East and Northern Africa,6.573,1.57352,0.72993,0.56215,0.26591
92,Uruguay,Latin America and Caribbean,6.545,1.18157,0.72183,0.54388,0.18056
133,Vietnam,Southeastern Asia,5.061,,0.66157,0.55954,0.25075
28,Congo (Brazzaville),Sub-Saharan Africa,4.236,0.77109,0.28212,0.37938,0.12077
99,Suriname,Latin America and Caribbean,6.269,1.09686,0.50933,0.52234,0.16665
36,Turkey,Middle East and Northern Africa,5.389,1.16492,0.64718,0.23889,0.04707
150,Panama,Latin America and Caribbean,6.701,1.18306,0.70835,0.48927,
146,Morocco,Middle East and Northern Africa,5.151,0.84058,0.59471,0.25646,0.04053
87,Paraguay,Latin America and Caribbean,5.538,0.89373,0.58295,0.46235,0.25296
51,Chile,Latin America and Caribbean,6.705,1.2167,0.81883,0.37789,0.31595
120,Indonesia,Southeastern Asia,5.314,0.95104,0.49374,0.39237,0.56521
53,Madagascar,Sub-Saharan Africa,3.695,,0.37109,0.13684,0.2204
145,China,Eastern Asia,5.245,1.0278,0.73561,,0.04959
18,Georgia,Central and Eastern Europe,4.252,0.83792,0.64035,0.32461,0.06786
94,Comoros,Sub-Saharan Africa,3.956,0.27509,0.29981,0.15412,0.1827
149,Croatia,Central and Eastern Europe,5.488,1.18649,0.70524,0.23907,0.18434
109,Armenia,Central and Eastern Europe,4.36,0.86086,0.64083,0.14037,0.07793
31,Denmark,Western Europe,7.526,1.44178,0.79504,0.57941,0.36171
62,Thailand,Southeastern Asia,6.474,1.0893,0.64915,0.49553,0.58696
80,Syria,Middle East and Northern Africa,3.069,0.74719,0.62994,0.06912,0.48397
124,France,Western Europe,6.478,1.39488,0.83795,0.46562,0.1216
58,Somaliland Region,Sub-Saharan Africa,5.057,0.25558,0.33108,0.3913,0.51479
75,Greece,Western Europe,5.033,1.24886,0.80029,0.05822,0.0
84,Poland,Central and Eastern Europe,5.835,1.24585,0.69058,0.4519,0.14443
110,Bangladesh,Southern Asia,4.643,0.54177,0.52989,0.39778,0.19132
144,Cambodia,Southeastern Asia,3.907,0.55604,0.42494,0.58852,0.40339
8,Kenya,Sub-Saharan Africa,4.356,0.52267,0.30147,0.40576,0.41328
57,Benin,Sub-Saharan Africa,3.484,0.39499,0.21028,0.39747,0.2018
16,New Zealand,Australia and New Zealand,7.334,1.36066,0.83096,0.58147,0.49401
151,Netherlands,Western Europe,7.339,1.46468,0.81231,0.55211,0.47416
153,Honduras,Latin America and Caribbean,4.871,0.69429,0.58383,0.26755,0.2044
