Country,Region,Happiness_Score,GDP,Health,Freedom,Generosity
Liberia,Sub-Saharan Africa,3.622,0.10706,0.23165,0.25748,0.24063
Laos,Southeastern Asia,4.876,0.68042,0.38291,0.52168,0.43079
Burundi,Sub-Saharan Africa,2.905,0.06831,0.15747,0.0432,0.2029
Mongolia,Eastern Asia,4.907,0.98853,0.55469,0.35972,0.34539
Dominican Republic,Latin America and Caribbean,5.155,1.02787,0.57669,0.52259,0.21286
Canada,North America,7.404,1.44015,0.8276,0.5737,0.44834
Afghanistan,Southern Asia,3.36,0.38227,0.75283,0.392945,0.31268
Bulgaria,Central and Eastern Europe,4.217,1.11306,0.67806,0.21219,0.12793
Kyrgyzstan,Central and Eastern Europe,5.185,0.56044,0.55449,0.40212,0.38432
Ivory Coast,Sub-Saharan Africa,3.916,0.55507,0.04476,0.40663,0.20338
Iran,Middle East and Northern Africa,4.813,1.11758,0.64232,0.22544,0.38538
North Cyprus,Western Europe,5.771,1.31141,0.84142,0.43596,0.26322
Cyprus,Western Europe,5.546,1.31857,0.8488,0.29507,0.27906
Iraq,Middle East and Northern Africa,4.575,1.07474,0.51076,0.24856,0.19589
Bhutan,Southern Asia,5.196,0.8527,0.49759,0.46074,0.48546
Algeria,Middle East and Northern Africa,6.355,1.05266,0.61804,0.21006,0.07044
Mexico,Latin America and Caribbean,6.778,1.11508,0.71143,0.37709,0.11864
Italy,Western Europe,5.977,1.35495,0.85102,0.18827,0.16684
Tanzania,Sub-Saharan Africa,3.666,0.47155,0.357,0.3176,0.19682
Cameroon,Sub-Saharan Africa,4.513,0.9070400000000001,0.12698,0.42736,0.2268
Spain,Western Europe,6.361,1.34253,0.87896,0.37545,0.17665
Kuwait,Middle East and Northern Africa,6.239,1.61714,0.63569,0.43166,0.15965
Senegal,Sub-Saharan Africa,4.219,0.44314,0.40457,0.31056,0.19103
Kazakhstan,Central and Eastern Europe,5.919,1.22943,0.57386,0.4052,0.15011
Brazil,Latin America and Caribbean,6.952,1.08754,0.61415,0.40425,0.15776
Myanmar,Southeastern Asia,4.395,0.34112,0.3988,0.42692,0.81971
Germany,Western Europe,6.994,1.44787,0.81487,0.53466,0.30452
Zimbabwe,Sub-Saharan Africa,4.193,0.35041,0.1595,0.25429,0.18503
Ukraine,Central and Eastern Europe,4.324,0.87287,0.58628,0.12859,0.20363
Belize,Latin America and Caribbean,5.956,0.87616,0.6910350000000001,0.51231,0.23684
Norway,Western Europe,7.498,1.57744,0.79579,0.59609,0.37895
Estonia,Central and Eastern Europe,5.517,1.27964,0.68098,0.41511,0.08423
Pakistan,Southern Asia,5.132,0.68816,0.40306,0.14622,0.31185
United States,North America,7.104,1.50796,0.779,0.48163,0.41077
Russia,Central and Eastern Europe,5.856,1.23228,0.58991,0.32682,0.02736
Iceland,Western Europe,7.501,1.42666,0.86733,0.56624,0.47678
Slovenia,Central and Eastern Europe,5.768,1.29947,0.79151,0.53164,0.25738
Lebanon,Middle East and Northern Africa,5.129,1.12268,0.76171,0.26228,0.23693
Luxembourg,Western Europe,6.871,1.69752,0.84542,0.5487,0.27571
Namibia,Sub-Saharan Africa,4.574,0.93287,0.34745,0.48614,0.07795
Nepal,Southern Asia,4.793,0.44626,0.50073,0.37012,0.3816
Ecuador,Latin America and Caribbean,5.976,0.97306,0.68613,0.4027,0.10074
Zambia,Sub-Saharan Africa,4.795,0.61202,0.23573,0.42662,0.17866
Singapore,Southeastern Asia,6.739,1.64555,0.44881,0.4877,0.32706
Mauritius,Sub-Saharan Africa,5.648,1.14372,0.66189,0.46145,0.36951
Czech Republic,Central and Eastern Europe,6.596,1.30915,0.76376,0.40736,0.09929
Azerbaijan,Central and Eastern Europe,5.291,1.12373,0.54504,0.35327,0.0564
El Salvador,Latin America and Caribbean,6.068,0.8737,0.596,0.37269,0.08877
Switzerland,Western Europe,7.509,1.52733,0.86303,0.58557,0.28083
Japan,Eastern Asia,5.921,1.38007,0.91491,0.46761,0.10224
Montenegro,Central and Eastern Europe,5.161,1.07838,0.63533,0.15111,0.17191
Nicaragua,Latin America and Caribbean,5.992,0.69384,0.65213,0.46582,0.29773
Sri Lanka,Southern Asia,4.415,0.97318,0.62007,0.50817,0.46978
Somalia,Sub-Saharan Africa,5.44,0.0,0.11466,0.56778,0.27225
Guinea,Sub-Saharan Africa,3.607,0.22415,0.18829,0.30953,0.29914
Latvia,Central and Eastern Europe,5.56,1.21788,0.63952,0.27996,0.17445
Turkmenistan,Central and Eastern Europe,5.658,1.08017,0.44006,0.37408,0.22567
Saudi Arabia,Middle East and Northern Africa,6.379,1.48953,0.59267,0.37904,0.15457
Botswana,Sub-Saharan Africa,3.974,1.09426,0.34752,0.44089,0.12425
Ireland,Western Europe,6.907,1.48341,0.81455,0.54008,0.44963
Jamaica,Latin America and Caribbean,5.51,0.89333,0.59469,0.43597,0.22245
Congo (Kinshasa),Sub-Saharan Africa,4.272,0.05661,0.188,0.15602,0.25458
Uzbekistan,Central and Eastern Europe,5.987,0.73591,0.50163,0.60848,0.34326
Romania,Central and Eastern Europe,5.528,1.1697,0.67602,0.36712,0.12889
Ethiopia,Sub-Saharan Africa,4.508,0.29283,0.34578,0.36703,0.29522
Ghana,Sub-Saharan Africa,4.276,0.63107,0.29681,0.40973,0.21203
Libya,Middle East and Northern Africa,5.615,1.06688,0.52304,0.40672,0.17087
Israel,Middle East and Northern Africa,7.267,1.33766,0.84917,0.36432,0.32288
Sierra Leone,Sub-Saharan Africa,4.635,0.36485,0.0,0.30685,0.23897
Niger,Sub-Saharan Africa,3.856,0.1327,0.26162,0.38041,0.2097
Hong Kong,Eastern Asia,5.458,1.5107,0.95277,0.48079,0.40097
Angola,Sub-Saharan Africa,3.866,0.84731,0.04991,0.00589,0.12071
Sweden,Western Europe,7.291,1.45181,0.83121,0.58218,0.38254
Puerto Rico,Latin America and Caribbean,7.039,1.35943,0.77758,0.46823,0.22202
Belgium,Western Europe,6.929,1.42539,0.81959,0.51354,0.2424
Tunisia,Middle East and Northern Africa,5.045,0.97724,0.80661,0.48040499999999997,0.03936
Portugal,Western Europe,5.123,1.27607,0.79363,0.44727,0.11691
Austria,Western Europe,7.119,1.45038,0.80565,0.54355,0.32865
Sudan,Sub-Saharan Africa,4.139,0.63069,0.29759,0.0,0.18077
Taiwan,Eastern Asia,6.379,1.39729,0.79565,0.32377,0.25495
Bahrain,Middle East and Northern Africa,6.218,1.44024,0.65696,0.47375,0.17147
Albania,Central and Eastern Europe,4.655,0.9553,0.73007,0.31866,0.1684
Palestinian Territories,Middle East and Northern Africa,4.754,0.67024,0.56844,0.17744,0.11154
Lithuania,Central and Eastern Europe,5.813,1.2692,0.509675,0.18929,0.02025
India,Southern Asia,4.404,0.74036,0.45091,0.40285,0.25028
Yemen,Middle East and Northern Africa,3.724,0.57939,0.31048,0.2287,0.09821
Nigeria,Sub-Saharan Africa,4.875,0.75216,0.05108,0.27854,0.13669
Togo,Sub-Saharan Africa,3.303,0.28123,0.24811,0.34678,0.17517
Peru,Latin America and Caribbean,5.743,0.99602,0.62994,0.37502,0.14527
Mauritania,Sub-Saharan Africa,4.201,0.61391,0.28639,0.1268,0.22686
Malawi,Sub-Saharan Africa,4.156,0.08709,0.29364,0.4143,0.30968
Slovakia,Central and Eastern Europe,6.078,1.27973,0.70367,0.23391,0.13837
Rwanda,Sub-Saharan Africa,3.515,0.32846,0.31865,0.5432,0.23552
Costa Rica,Latin America and Caribbean,7.087,0.337825,0.76146,0.55225,0.22553
Uganda,Sub-Saharan Africa,3.739,0.34719,0.19625,0.43653,0.27102
Egypt,Middle East and Northern Africa,4.362,0.95395,0.52116,0.18847,0.12706
Chad,Sub-Saharan Africa,3.763,0.42214,0.03824,0.12807,0.18667
Guatemala,Latin America and Caribbean,6.324,0.83454,0.54039,0.50379,0.28808
Trinidad and Tobago,Latin America and Caribbean,6.168,1.32572,0.52608,0.48453,0.31935
Finland,Western Europe,7.413,1.40598,0.81091,0.57104,0.25492
United Kingdom,Western Europe,6.725,1.40283,0.80991,0.50036,0.50156
Burkina Faso,Sub-Saharan Africa,3.739,0.31995,0.21297,0.3337,0.24353
United Arab Emirates,Middle East and Northern Africa,6.573,1.57352,0.72993,0.56215,0.26591
Uruguay,Latin America and Caribbean,6.545,1.18157,0.72183,0.54388,0.18056
Vietnam,Southeastern Asia,5.061,0.97633,0.66157,0.55954,0.25075
Congo (Brazzaville),Sub-Saharan Africa,4.236,0.77109,0.28212,0.37938,0.12077
Suriname,Latin America and Caribbean,6.269,1.09686,0.50933,0.52234,0.16665
Turkey,Middle East and Northern Africa,5.389,1.16492,0.64718,0.23889,0.04707
Panama,Latin America and Caribbean,6.701,1.18306,0.70835,0.48927,0.0438
Morocco,Middle East and Northern Africa,5.151,0.84058,0.59471,0.25646,0.04053
Paraguay,Latin America and Caribbean,5.538,0.89373,0.58295,0.46235,0.25296
Chile,Latin America and Caribbean,6.705,1.2167,0.81883,0.37789,0.31595
Indonesia,Southeastern Asia,5.314,0.95104,0.49374,0.39237,0.56521
Madagascar,Sub-Saharan Africa,3.695,0.98942,0.37109,0.13684,0.2204
China,Eastern Asia,5.245,1.0278,0.73561,0.230725,0.04959
Georgia,Central and Eastern Europe,4.252,0.83792,0.64035,0.32461,0.06786
Comoros,Sub-Saharan Africa,3.956,0.27509,0.29981,0.15412,0.1827
Croatia,Central and Eastern Europe,5.488,1.18649,0.70524,0.23907,0.18434
Armenia,Central and Eastern Europe,4.36,0.86086,0.64083,0.14037,0.07793
Denmark,Western Europe,7.526,1.44178,0.79504,0.57941,0.36171
Thailand,Southeastern Asia,6.474,1.0893,0.64915,0.49553,0.58696
Syria,Middle East and Northern Africa,3.069,0.74719,0.62994,0.06912,0.48397
France,Western Europe,6.478,1.39488,0.83795,0.46562,0.1216
Somaliland Region,Sub-Saharan Africa,5.057,0.25558,0.33108,0.3913,0.51479
Greece,Western Europe,5.033,1.24886,0.80029,0.05822,0.0
Poland,Central and Eastern Europe,5.835,1.24585,0.69058,0.4519,0.14443
Bangladesh,Southern Asia,4.643,0.54177,0.52989,0.39778,0.19132
Cambodia,Southeastern Asia,3.907,0.55604,0.42494,0.58852,0.40339
Kenya,Sub-Saharan Africa,4.356,0.52267,0.30147,0.40576,0.41328
Benin,Sub-Saharan Africa,3.484,0.39499,0.21028,0.39747,0.2018
New Zealand,Australia and New Zealand,7.334,1.36066,0.83096,0.58147,0.49401
Netherlands,Western Europe,7.339,1.46468,0.81231,0.55211,0.47416
Honduras,Latin America and Caribbean,4.871,0.69429,0.58383,0.26755,0.2044
